id,name,type,birth,age,position,country
1,Juliet Lohuis,0,1996,3,1,NDL
2,Mira Todorova,0,1994,4,1,BGR
3,Eline Timmerman,0,1998,2,1,NDL
4,Hannah Kohn,0,2003,1,2,DE
5,Ilka Van de Vyver,0,1993,4,2,BEL
6,Julia Nowicka,0,1998,2,2,POL
7,Simone Lee,0,1996,3,3,USA
8,Maria Segura Palleres,0,1992,4,3,ESP
9,Hester Jasper,0,2001,1,3,NDL
10,Helena Dornheim,0,2004,1,3,DE
11,Krystal Rivers,0,1994,4,4,USA
12,Lara Berger,0,2001,1,4,DE
13,Roosa Koskelo,0,1991,4,5,FIN
14,Lena Grundt,0,2004,1,5,DE
15,Allianz MTV Stuttgart,1,,,,
16,Setup 65,1,,,,
17,Talent Team Papendal,1,,,,
18,Eurosped Almelo,1,,,,
19,Coolen Alterno,1,,,,
20,USC Muenster,1,,,,
21,RC Cannes,1,,,,
22,Volero Le Cannet,1,,,,
23,Volero Zuerich,1,,,,
24,Le Cannet Volley Ball,1,,,,
25,SmAesch Pfeffingen,1,,,,
26,VC Maritza,1,,,,
27,Alterno Apeldoorn,1,,,,
28,Eurosped Twente,1,,,,
29,Ladies in Black Aachen,1,,,,
30,VfB Ulm,1,,,,
31,Olympiastuetzpunkt Stuttgart,1,,,,
32,Bundesstuetzpunkt Stuttgart,1,,,,
33,Asterix Kieldrecht,1,,,,
34,Il Bisonte Firenze,1,,,,
35,Calcit Ljubljana,1,,,,
36,Rote Raben Vilsbiburg,1,,,,
37,CSM Targoviste,1,,,,
38,Grot Budowlani Lodz,1,,,,
39,BKS Profi Credit Bielsko Biala,1,,,,
40,KS Palac Bydgoszcz U20,1,,,,
41,SMS PZPS Szczyrk,1,,,,
42,Kurobe AquaFairies,1,,,,
43,Beylikduezue,1,,,,
44,Imoco Volley Conegliano,1,,,,
45,Penn State University,1,,,,
46,Banca Valsabbina Millenium Brescia,1,,,,
47,Dresdener SC 1898,1,,,,
48,Bosca San Bernardo Cuneo,1,,,,
49,Saugella Team Monza,1,,,,
50,Delta Informatica Trentino,1,,,,
51,Geovillage Hermaea Olbia,1,,,,
52,CV Barcelona,1,,,,
53,VfB Suhl Lotto Thueringen,1,,,,
54,VC Sneek,1,,,,
55,Allianz MTV Stuttgart 2,1,,,,
56,University of Alabama,1,,,,
57,Beziers Angels,1,,,,
58,Luka Bar MNE,1,,,,
59,FV Tuebinger Modell,1,,,,
60,BSP MTV Stuttgart,1,,,,
61,VCO Berlin,1,,,,
62,OK Nova KBM Branik,1,,,,
63,LP Viesti,1,,,,
64,LP Kangasala,1,,,,
65,Haemeenlinnan Lentopallokerho,1,,,,
66,Kimmo,1,,,,
67,Somero Pallo,1,,,,
68,Eigene Jugend MTV Stuttgart,1,,,,
69,Deutschland,1,,,,
70,Niederlande,1,,,,
71,USA,1,,,,
72,Bulgarien,1,,,,
73,Belgien,1,,,,
74,Polen,1,,,,
75,Spanien,1,,,,
76,Finnland,1,,,,
